anzsco_code,occupation_title,skill_level,mltssl,stsol,rol,csol,assessing_authority,validity_years,additional_info,alternate_titles
111111,Chief Executive or Managing Director,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
111211,Corporate General Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
121111,Aquaculture Farmer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
121311,Apiarist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
121313,Dairy Cattle Farmer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
121315,Goat Farmer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
121318,Pig Farmer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
121321,Poultry Farmer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
121611,Flower Grower,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
131112,Sales and Marketing Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
131113,Advertising Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
132111,Corporate Services Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
132211,Finance Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
132311,Human Resource Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
132411,Policy and Planning Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
132511,Research and Development Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
133111,Construction Project Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
133112,Project Builder,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
133211,Engineering Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
133511,Production Manager (Forestry),1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
133512,Production Manager (Manufacturing),1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
