anzsco_code,occupation_title,skill_level,mltssl,stsol,rol,csol,assessing_authority,validity_years,additional_info,alternate_titles
133111,Construction Project Manager,1,Yes,No,No,No,VETASSESS,,,Building and Construction Manager
133211,Engineering Manager,1,Yes,No,No,No,"Engineers Australia;, AIM",,,
134111,Child Care Centre Manager,1,Yes,No,No,No,TRA,,,"Child Care Centre Director, Child Care Coordinator"
134212,Nursing Clinical Director,1,Yes,No,No,No,ANMAC,,,"Director of Nursing, Senior Nurse Manager, Assistant Director of Nursing, Deputy Director of Nursing, Executive Director of Nursing"
134213,Primary Health Organisation Manager,1,Yes,No,No,No,VETASSESS,,,
134214,Welfare Centre Manager,1,Yes,No,No,No,ACWA,,,Welfare Project Manager
139911,Arts Administrator Or Manager,1,Yes,No,No,No,VETASSESS,,,"Art Gallery Director, Community Arts Centre Manager, Cultural Centre Manager"
139912,Environmental Manager,1,Yes,No,No,No,VETASSESS,,,
211112,Dancer Or Choreographer,1,Yes,No,No,No,VETASSESS,,"Excludes exotic dancers | GSM, 494, 407: exotic dancer","Ballet Dancer, Contemporary or Modern Dancer, Exotic Dancer"
211212,Music Director,1,Yes,No,No,No,VETASSESS,,,"Band Leader, Choral Director, Orchestra Conductor"
211213,Musician (Instrumental),1,Yes,No,No,No,VETASSESS,,,"Instrumentalist, Drummer, Guitarist, Pianist, Violinist"
212111,Artistic Director,1,Yes,No,No,No,VETASSESS,,,
221111,Accountant (General),1,Yes,No,No,No,"CPAA;, CAANZ;, IPA",,"Business turnover $1M+ required; 5+ employees required; Excludes clerical and bookkeeping duties | 482/186 - 6 - clerical/bookkeeper, 482/186 - 19 - turnover $1M+, 482/186 - 21 - 5+ employees","Financial Analyst, Insolvency Consultant, Insolvency Practitioner"
221112,Management Accountant,1,Yes,No,No,No,"CPAA;, IPA;, CAANZ",,"Business turnover $1M+ required; 5+ employees required; Excludes clerical and bookkeeping duties | 482/186 - 6 - clerical/bookkeeper, 482/186 - 19 - turnover $1M+, 482/186 - 21 - 5+ employees","Cost Accountant, Commercial Accountant, Carbon Accountant, Product Accountant"
221113,Taxation Accountant,1,Yes,No,No,No,"CPAA;, IPA;, CAANZ Migration (LIN 19/051: Specification of Occupations and Assessing Authorities) 5 Authorised Version F2019L00278 registered 10/03/2019 Part 2 Specification of occupations and assessing authorities Occupation ANZSCO Assessing authority",,"Business turnover $1M+ required; 5+ employees required; Excludes clerical and bookkeeping duties | 482/186 - 6 - clerical/bookkeeper, 482/186 - 19 - turnover $1M+, 482/186 - 21 - 5+ employees","Taxation Agent, Taxation Consultant"
221213,External Auditor,1,Yes,No,No,No,"CPAA;, IPA;, CAANZ",,,
221214,Internal Auditor,1,Yes,No,No,No,VETASSESS,,,Audit Officer
224111,Actuary,1,Yes,No,No,No,VETASSESS,,,
224113,Statistician,1,Yes,No,No,No,VETASSESS,,,"Biometrician, Demographer, Epidemiologist"
224311,Economist,1,Yes,No,No,No,VETASSESS,,,"Economic Analyst, Agricultural Economist, Econometrician, Economic Forecaster, Environmental Economist, Health Economist, Labour Market Economist, Mineral Economist, Taxation Economist"
224511,Land Economist,1,Yes,No,No,No,VETASSESS,,,"Property Economist, Asset Manager (Land and Property)"
224512,Valuer,1,Yes,No,No,No,VETASSESS,,,"Plant and Machinery Valuer, Property Valuer, Real Estate Valuer"
224711,Management Consultant,1,Yes,No,No,No,VETASSESS,,"Minimum salary $90,000; Business turnover $1M+ required; 5+ employees required | 482/186 - 19 - turnover $1M+, 482/186 - 21 - 5+ employees, 482/186 - 23 - salary $90K+","Business Consultant, Business Analyst"
