anzsco_code,occupation_title,skill_level,mltssl,stsol,rol,csol,assessing_authority,validity_years,additional_info,alternate_titles
121111,Aquaculture Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Aquaculture Farm Manager
121211,Cotton Grower,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121213,Fruit or Nut Grower,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121214,"Grain, Oilseed or Pasture Grower / Field Crop Grower",1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121216,Mixed Crop Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121217,Sugar Cane Grower,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121299,Crop Farmers nec,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121312,Beef Cattle Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Beef Cattle Farm Manager, Beef Cattle Grazier"
121313,Dairy Cattle Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Dairy Cattle Farm Manager
121314,Deer Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121315,Goat Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121316,Horse Breeder,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Horse Stud Manager
121317,Mixed Livestock Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121318,Pig Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Pig Farm Manager
121322,Sheep Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Sheep Farm Manager
121399,Livestock Farmers nec,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121411,Mixed Crop and Livestock Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
131114,Public Relations Manager,1,No,No,Yes,No,IML,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Communications Manager, Corporate Affairs Manager, Corporate Relations Manager, PR Manager, Public Affairs Manager"
132411,Policy and Planning Manager,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Public Policy Manager
133112,Project Builder,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Professional Builder
133612,Procurement Manager,1,No,No,Yes,No,IML,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Purchasing Manager
