anzsco_code,occupation_title,skill_level,mltssl,stsol,rol,csol,assessing_authority,validity_years,additional_info,alternate_titles
121212,Flower Grower,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
121215,Grape Grower,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
121221,vegetable grower (Aus),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",market
121311,Apiarist,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
121321,Poultry Farmer,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
131112,Sales And Marketing Manager,1,No,Yes,No,No,AIM,,"Applicable visas: 190, 491",
131113,Advertising Manager,1,No,Yes,No,No,AIM,,"Applicable visas: 190, 491",
132111,Corporate Services Manager,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
132211,Finance Manager,1,No,Yes,No,No,(a) CPAA,,"Applicable visas: 190, 491",
132311,Human Resource Manager,1,No,Yes,No,No,AIM,,"Applicable visas: 190, 491",
132511,Research And Development Manager,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
133411,Manufacturer,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
133511,Production Manager (Forestry),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
133512,Production Manager (Manufacturing),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
133513,Production Manager (Mining),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
133611,Supply And Distribution Manager,1,No,Yes,No,No,AIM,,"Applicable visas: 190, 491",
134299,Health And Welfare Services Managers,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
134311,School Principal,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
134499,Education Managers (Nec),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
135112,ICT project manager,1,No,Yes,No,No,ACS,,"Applicable visas: 190, 491",
135199,ICT managers (nec),1,No,Yes,No,No,ACS,,"Applicable visas: 190, 491",
139913,Laboratory Manager,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
139914,Quality Assurance Manager,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
139999,Specialist Managers (Nec) Except:,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
141111,Cafe Or Restaurant Manager,2,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
141311,Hotel Or Motel Manager,2,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
141999,Accommodation And Hospitality,2,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
149212,Customer Service Manager,2,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
149311,Conference And Event Organiser,2,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
149413,Transport Company Manager,2,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
149913,Facilities Manager,2,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
211299,Music Professionals (Nec),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
211311,Photographer,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212212,Book Or Script Editor,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212312,"Director (Film, Television, Radio Or",1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212314,Film And Video Editor,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212315,Program Director (Television Or Radio),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212316,Stage Manager,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212317,Technical Director,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212318,Video Producer,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212411,Copywriter,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212412,Newspaper Or Periodical Editor,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212413,Print Journalist,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212415,Technical Writer,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212416,Television Journalist,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
212499,Journalists And Other Writers (Nec),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
221211,Company Secretary,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222111,Commodities Trader,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222112,Finance Broker,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222113,Insurance Broker,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222199,Financial Brokers (Nec),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222211,Financial Market Dealer,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222213,Stockbroking Dealer,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222299,Financial Dealers (Nec),1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222311,Financial Investment Adviser,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
222312,Financial Investment Manager,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
223112,Recruitment Consultant,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
223211,ICT trainer,1,No,Yes,No,No,ACS,,"Applicable visas: 190, 491",
224112,Mathematician,1,No,Yes,No,No,VETASSESS,,"Applicable visas: 190, 491",
